feature,mean_abs_coefficient,max_abs_coefficient
"cat__zona_kadastrale_Rr. Ilaz Agushi, p.n Prishtinë",0.25138001626261064,0.6137285210288665
cat__arbk_aktiviteti_1_pershkrimi_Qiradhënia dhe menaxhimi i patundshmërisë personale ose të marra me qira,0.2497904584455458,0.8780048642834657
cat__arbk_aktiviteti_1_pershkrimi_Tregtia me pakicë e karburantit për automjete në dyqane të specializuar,0.24977473791347252,0.9990989516538905
cat__zona_kadastrale_Skënderaj,0.24928032313930898,0.6480172020579399
cat__arbk_aktiviteti_1_pershkrimi_Restorantet dhe aktivitetet shërbyese lëvizëse të ushqimit,0.24870761216878134,0.6947019167494132
cat__arbk_aktiviteti_2_pershkrimi_Prodhimi i dyerve dhe dritareve prej metalit,0.24790601927076053,0.5936724587292339
cat__qytet_apo_fshat_lokacioni_i_asetit_te_shitur_Fshat,0.24732205315393002,0.6262996201413198
cat__arbk_aktiviteti_1_pershkrimi_Prodhimi i tullave tjegullave dhe produkteve ndërtimore në argjilë të pjekur,0.24656085778423237,0.9862434311369298
cat__arbk_aktiviteti_1_pershkrimi_Pastrimi i përgjithshëm i ndërtesave,0.24634443978918902,0.5062540637929163
cat__komuna_lokacioni_i_asetit_te_shitur_Mitrovica e Veriut,0.24571883195571226,0.632546910758384
cat__eshte_shitur_si_ndermarrje_e_re_apo_aset_ne_likuidim_Ndërmarrje e Re,0.24379052997187514,0.5432254576950133
cat__menyra_e_shitjes_spin off i rregullt,0.24290891523606084,0.611574863240701
cat__arbk_aktiviteti_1_pershkrimi_Aktiviteti i taksive,0.24220243794660062,0.5801630886184591
cat__arbk_aktiviteti_1_pershkrimi_Mirëmbajtja dhe riparimi i automjeteve,0.24154205978399942,0.9661682391359945
cat__zona_kadastrale_GJAKOVË-QYTET,0.24127188329582558,0.6717860390644304
cat__qytet_apo_fshat_lokacioni_i_asetit_te_shitur_Qytet,0.23935382225439567,0.6338412976537344
cat__komuna_lokacioni_i_asetit_te_shitur_Gjakovë,0.2372926154398816,0.5764142372521753
cat__komuna_lokacioni_i_asetit_te_shitur_Klinë,0.2371687139207425,0.4736685985609804
cat__arbk_aktiviteti_1_pershkrimi_Prodhimi i stolive të çmuara dhe artikujve të ngjashëm me to,0.23585786593227437,0.9434314637290986
cat__menyra_e_shitjes_negociata direkte - karakter tjetër specifik,0.2344249710501703,0.4425789093120147
cat__arbk_aktiviteti_1_pershkrimi_Marrja dhe dhënia me qira (lizingu) i veturave dhe automjeteve të lehta motorike,0.23395985103908437,0.7001951196776818
cat__arbk_aktiviteti_2_pershkrimi_Tregtia me pakicë e pajisjeve elekroshtëpiake në dyqane të specializuara,0.2331957708531647,0.5614814075434035
cat__komuna_lokacioni_i_asetit_te_shitur_Mitrovica e Jugut,0.2330540126875337,0.8113629837498283
cat__komuna_lokacioni_i_asetit_te_shitur_Shtërpcë,0.23297580656934766,0.3925286107745189
cat__komuna_lokacioni_i_asetit_te_shitur_Rahovec,0.23186453008686977,0.5230658409534278
num__is_land_only,0.22907145574230137,0.6503334404009616
cat__arbk_aktiviteti_2_pershkrimi_Furnizimi me ushqim me porosi për raste,0.2288914324711745,0.4568250285415504
cat__arbk_aktiviteti_2_pershkrimi_Transporti rrugor i mallrave,0.22782105098019936,0.6248300925348783
cat__asset_structure_type_unknown_asset_type,0.22488234385647002,0.5397181509612204
cat__komuna_lokacioni_i_asetit_te_shitur_Istog,0.22413134548578276,0.45492380649158887
cat__arbk_aktiviteti_1_pershkrimi_Riparimi i pajisjeve elektroshtëpiake dhe pajisjeve për shtëpi dhe të kopshtarisë,0.22377628215677256,0.6583314221627603
cat__arbk_aktiviteti_2_pershkrimi_Kultivimi i frutave të tjera pemore shkurreve dhe arrave,0.2232448377837172,0.7155487028900633
cat__arbk_aktiviteti_2_pershkrimi_Punime hidraulike instalime të ngrohjes dhe kondicionimit të ajrit,0.22275252431426495,0.4883037016203427
cat__arbk_aktiviteti_2_pershkrimi_Tregtia me pakicë e artikujve ortopedikë dhe mjeksorë në dyqane të specializuara,0.22213318881601257,0.7370663528847393
cat__arbk_aktiviteti_2_pershkrimi_Tregtia me pakicë e bukës ëmbëlsirave produkteve prej mielli dhe produkteve prej sheqeri në dyqane të specializuara,0.22172721105707394,0.6930924376320575
cat__eshte_shitur_si_ndermarrje_e_re_apo_aset_ne_likuidim_Aset në likuidim (i konvertuar nga qira),0.2212228548159507,0.5645008528801403
cat__komuna_lokacioni_i_asetit_te_shitur_Viti,0.22102888389085934,0.5258538871328938
cat__kategoria_e_asetit_depo,0.22001342664184614,0.5091089011361352
cat__komuna_lokacioni_i_asetit_te_shitur_Skenderaj,0.2195587234601295,0.5620551518980704
num__contract_quarter,0.21764923450745807,0.4405460248883669
cat__komuna_lokacioni_i_asetit_te_shitur_Ferizaj,0.2169058235703588,0.470273348491151
num__log_sale_price,0.21672526474305576,0.44851590133100194
cat__komuna_lokacioni_i_asetit_te_shitur_Podujevë,0.21588092828417382,0.40805798950242195
cat__arbk_aktiviteti_2_pershkrimi_Tregtia me shumicë e pijeve,0.21557536352255458,0.5990092871434711
cat__zona_kadastrale_Kaçanik,0.2135732986942201,0.6578554749762571
cat__zona_kadastrale_ISTOG,0.21104689740141147,0.7462594397820134
cat__arbk_aktiviteti_2_pershkrimi_Tregtia me shumicë e drurit materialeve të ndërtimit dhe pajisjeve hidrosanitare,0.21052102472208348,0.6919387173845564
cat__komuna_lokacioni_i_asetit_te_shitur_Vushtrri,0.20704194856184602,0.624660025972483
cat__kategoria_e_asetit_zyre,0.20660887601497885,0.5312156343583166
cat__arbk_aktiviteti_2_pershkrimi_Tregtia me shumicë e frutave dhe perimeve,0.20599562828481824,0.6195367276348597
cat__kategoria_e_asetit_kioska,0.20418880283329033,0.45291774316767497
cat__rajoni_akp_AD,0.20410126994395222,0.4542136687548463
cat__arbk_aktiviteti_1_pershkrimi_Tregtia me shumicë e frutave dhe perimeve,0.20313316949061033,0.44146374347871714
cat__arbk_aktiviteti_2_pershkrimi_Aktivitetet e tjera mbështetëse të transportit,0.20047067396425247,0.6141883722866925
cat__menyra_e_shitjes_negociata direkte - ndërtime,0.19987984306508233,0.483203250212561
num__price_per_land_m2,0.19848568240087663,0.4388131278728776
cat__asset_structure_type_object_only,0.19798708109841412,0.6584523585752421
cat__arbk_aktiviteti_1_pershkrimi_Tregtia me shumicë e tekstileve,0.1973692233473117,0.7894768933892463
cat__arbk_aktiviteti_2_pershkrimi_Tregtia e energjisë elektrike,0.1961841743998674,0.7847366975994705
cat__arbk_aktiviteti_2_pershkrimi_Kultivimi i drithërave (përveç orizit) i bimëve bishtajore dhe i farërave vajore,0.1938243260089044,0.7752973040356146
num__arbk_numripunetoreve,0.19358220709644605,0.3754349511718623
cat__zona_kadastrale_MATIÇAN,0.19161415877101184,0.5637335962865582
num__is_large_land,0.19115878873214492,0.5832862019468792
cat__kategoria_e_asetit_lokal DHE tokë,0.1907619274179577,0.33261529149906244
cat__zona_kadastrale_Viti,0.1904540735068231,0.5386869808504667
cat__eshte_shitur_si_ndermarrje_e_re_apo_aset_ne_likuidim_Aset në likuidim,0.1901887791875075,0.2928148920845644
cat__zona_kadastrale_Prizren,0.1895299459581133,0.3551664810891457
cat__zona_kadastrale_Lipjan,0.18929538536461601,0.4409691520375594
cat__arbk_aktiviteti_2_pershkrimi_Kultivimi i perimeve pjepërave dhe shalqirit bimëve rrënjore dhe tuberoze,0.1887527511343657,0.7346168478372513
cat__zona_kadastrale_Rahovec,0.18731382285916381,0.5027199208534479
cat__arbk_aktiviteti_2_pershkrimi_Tregtia e veturave dhe automjeteve me fuqi motorike të vogël,0.1864064723954602,0.5008920817762844
"cat__zona_kadastrale_Rr. Robert Doll, nr 24",0.18495913477957523,0.4102660175348648
cat__arbk_statusiarbk_Status i panjohur,0.18492185545884238,0.42004139039909283
cat__zona_kadastrale_Ferizaj,0.18472753485138316,0.5217830002453919
cat__kategoria_e_asetit_tokë,0.18451414138964206,0.4588339730156107
cat__arbk_aktiviteti_1_pershkrimi_Tregtia me shumicë e pajisjeve elektroshtëpiake,0.18396668019838716,0.4830694418246599
cat__arbk_aktiviteti_2_pershkrimi_Aktivitete shërbimi të mirëmbajtjes dhe kujdesit të shesheve (mjedisit),0.1826012255146121,0.46046054535121683
cat__arbk_aktiviteti_2_pershkrimi_Tregtia me shumicë jo e specializuar,0.18221407617670546,0.4759600537882536
cat__arbk_aktiviteti_1_pershkrimi_Tregtia me pakicë e këpucëve dhe artikujve prej lëkure në dyqane të specializuara,0.1822053155791504,0.7288212623166023
cat__zona_kadastrale_PEJË,0.18032210235285404,0.4131841825645446
cat__komuna_lokacioni_i_asetit_te_shitur_Suharekë,0.18002172674084863,0.39130330409550135
cat__zona_kadastrale_Gjilan,0.17990140208304578,0.4038841944998916
cat__arbk_aktiviteti_2_pershkrimi_Tregtia me shumicë e produkteve kimike,0.17956055745484478,0.4607481722011939
cat__arbk_aktiviteti_1_pershkrimi_Riparimi i orëve të dorës të murit dhe argjentarisë,0.17849768788338105,0.7139907515335243
num__has_object,0.17845581268744154,0.37453469923602933
cat__komuna_lokacioni_i_asetit_te_shitur_Kaçanik,0.17817259681433045,0.6216077428949784
num__siperfaqja_e_objektit_nese_ka_objekt_te_toka_dhe_dihet_siperfaqja_m2,0.17787960070992548,0.44960741459082953
cat__arbk_aktiviteti_1_pershkrimi_Tregtia me shumicë jo e specializuar,0.1746955596793706,0.4016705825001077
cat__arbk_aktiviteti_1_pershkrimi_Tregtia me pakicë e mallrave të tjera të reja në dyqane të specializuara,0.17185628713870843,0.6874251485548317
cat__zona_kadastrale_Prishtinë,0.17167163550975545,0.3345781326235754
cat__komuna_lokacioni_i_asetit_te_shitur_Mitrovicë e Veriut,0.1707965116250671,0.5186310024785086
cat__rajoni_akp_Prishtina,0.1696508423849551,0.3065364332796127
cat__komuna_lokacioni_i_asetit_te_shitur_Dragash,0.16681848417327572,0.474579795003072
cat__zona_kadastrale_BEC,0.1667206948660238,0.5515450178431085
cat__menyra_e_shitjes_spin off special,0.1641262352106468,0.4780943422690459
cat__kategoria_e_asetit_pompë benzine,0.1637393127023724,0.49548882940051864
cat__arbk_aktiviteti_2_pershkrimi_Aktivitetet e tjera shërbyese në mbështetje të bizneseve p.k.t.,0.16264598021504495,0.5443582917567603
num__price_per_land_m2_is_outlier_iqr,0.1619262866694086,0.42993103270323324
cat__arbk_aktiviteti_2_pershkrimi_Tregtia me pakicë në dyqane jo të specializuar ku mbizotëron ushqimi pijet dhe duhani,0.16160712541142616,0.5136259074853726
cat__arbk_aktiviteti_1_pershkrimi_Tregtia me shumicë e artikujve të tjerë ushqimorë përfshirë peshkun krustacet dhe molusqet (frutat e detit),0.16109020375676344,0.3910400308378246
cat__kategoria_e_asetit_ndërtesë administrative dhe tokë,0.1606406823875545,0.40462840020885693
cat__zona_kadastrale_LUBIZHDË,0.15977223326794482,0.4490775262985774
cat__zona_kadastrale_Klinë,0.15894562036406357,0.4373299534567875
cat__kategoria_e_asetit_ndërtesë administrative,0.15816955252826448,0.39913895341377587
cat__arbk_aktiviteti_2_pershkrimi_Përpunimi mekanik,0.1577357477558721,0.6309429910234879
cat__zona_kadastrale_HAJVALI,0.15764197355001777,0.38283784664925724
"cat__zona_kadastrale_Zona Industriale, Prishtine",0.15602293856521401,0.3510722697045892
cat__zona_kadastrale_MITROVICË,0.1554653396746492,0.5227942126325441
cat__arbk_aktiviteti_1_pershkrimi_Tregtia me pakicë në tezga dhe tregje të mallrave të tjera,0.15388694374973438,0.615547774998937
cat__zona_kadastrale_PRISHTINË,0.1535397162859029,0.39902942173868056
cat__zona_kadastrale_Nashec,0.15216067316913648,0.31238840953605806
cat__zona_kadastrale_Rr. Deshmoret e Kombit pn-Vushtrri,0.15103569068957126,0.41325452922008216
cat__kategoria_e_asetit_tokë komerciale,0.1506703285148663,0.35235413934631654
cat__arbk_aktiviteti_1_pershkrimi_Tregtia me shumicë e produkteve të qumështit vezëve vajrave dhe yndyrnave të gatimit,0.14942752280988258,0.569362284046372
cat__arbk_aktiviteti_2_pershkrimi_Tregtia me pakicë e pjesëve dhe aksesorëve të automjeteve,0.1489489269124523,0.3648715387566686
cat__kategoria_e_asetit_tokë ndërtimore,0.14744938957959067,0.3884526411739171
cat__zona_kadastrale_Podujevë,0.14535596346982532,0.35594399436724883
cat__arbk_aktiviteti_2_pershkrimi_Tregti tjetër me pakicë në dyqane jo të specializuara,0.1450487501270337,0.4333671064742968
cat__rajoni_akp_Gjilani,0.14359542396196412,0.3404094396783598
cat__arbk_aktiviteti_2_pershkrimi_Restorantet dhe aktivitetet shërbyese lëvizëse të ushqimit,0.14277537866498397,0.5348387397735425
cat__kategoria_e_asetit_Lokal,0.1399430791730568,0.311473938908758
cat__qytet_apo_fshat_lokacioni_i_asetit_te_shitur_fshat,0.13921082338285728,0.34714062003504337
cat__asset_structure_type_mixed_asset,0.13828783917378132,0.4386349539402635
cat__kategoria_e_asetit_tokë industriale,0.13713934009017367,0.5485573603606962
num__total_area_m2,0.13699864199225617,0.23115238435456076
cat__arbk_aktiviteti_1_pershkrimi_Tregtia me pakicë e veshjeve në dyqane të specializuara,0.13687439892508113,0.4989125091521638
